ASIN,category,image,price,rating,title,url
B09H7BQWT5,pants,https://m.media-amazon.com/images/I/61mtnaTQYKL._AC_UL320_.jpg,29.99,4.5,"Men's Sweatpants with Zipper Pockets Tapered Joggers for Men Athletic Pants for Workout, Jogging, Running",https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&page=17&crid=3MYZV2AP3DPNY&qid=1727930494&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_pg_16
B09ZCDYPR6,pants,https://m.media-amazon.com/images/I/91XUMIlN-fL._AC_UL320_.jpg,39.99,4.2,Mens 3 Pack Fleece Active Athletic Workout Jogger Sweatpants for Men with Zipper Pocket and Drawstring Size S-3XL,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B0BB7SQ1SR,pants,https://m.media-amazon.com/images/I/61aUZQs50XL._AC_UL320_.jpg,19.59,4.3,"Flare Leggings, Crossover Yoga Pants with Tummy Control, High-Waisted and Wide Leg",https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B07BJKRPRX,pants,https://m.media-amazon.com/images/I/81ZrX2Yjf-L._AC_UL320_.jpg,28.5,4.4,Men's Slim-Fit Casual Stretch Chino Pant,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B073SLKRYC,pants,https://m.media-amazon.com/images/I/81OWtiu+MTL._AC_UL320_.jpg,29.8,4.2,Men's Classic-Fit Wrinkle-Resistant Flat-Front Chino Pant (Available in Big & Tall),https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
B0D983Z7LP,pants,https://m.media-amazon.com/images/I/71HbMIC9SdL._AC_UL320_.jpg,32.99,3.9,Men's Baggy Cargo Pants Trendy Casual Parachute Pant Loose Fit Harem Joggers with Pockets,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&page=15&crid=3MYZV2AP3DPNY&qid=1727930491&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_pg_14
B083GDZ829,pants,https://m.media-amazon.com/images/I/613I-oo+tqL._AC_UL320_.jpg,39.99,4.6,Mens Bamboo Viscose Pajama Pants Soft Lounge Bottoms Knit Big and Long Sweatpants Lightweight Sleep Pant Drawstring S-4X,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&page=15&crid=3MYZV2AP3DPNY&qid=1727930491&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_pg_14
B0D9NT98NR,pants,https://m.media-amazon.com/images/I/61XGH4hknVL._AC_UL320_.jpg,29.99,4.3,Men's Casual Pants Cotton Twill Elastic Drawstring Waist Tapered Chino Joggers Pants with Pockets,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&page=14&crid=3MYZV2AP3DPNY&qid=1727930489&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_pg_13
B0D83LH5BB,pants,https://m.media-amazon.com/images/I/61apqoldPCL._AC_UL320_.jpg,29.99,4.6,Men's Cargo Pants Drawstring Drawstring Stretch Waist Waist Twill Joggers Trousers with Zipper Pockets,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&page=5&crid=3MYZV2AP3DPNY&qid=1727930475&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_pg_4
B0CGHBGDM6,pants,https://m.media-amazon.com/images/I/51vmpCtmZLL._AC_UL320_.jpg,19.99,3.7,Mens Cargo Pants Casual Outdoor Hiking Pants for Men Athletic Joggers Sweatpants,https://www.amazon.com/s?k=pants&i=fashion&rh=n%3A7141123011&dc&ds=v1%3A5SQ7fSm0bCKq9vQvi2Xxa3yM4PjdXKCfoLBi3uaStOk&crid=3MYZV2AP3DPNY&qid=1727929877&rnid=85457740011&sprefix=pants%2Caps%2C111&ref=sr_nr_p_123_1
